"STATE","FDID","INC_NO","INC_TYPE","OTH_DEATH","FF_DEATH","total","year","region"
"MA","05094","38958",111,1,0,1,"2012","northeast"
"MA","05201","4818",111,1,0,1,"2012","northeast"
"MA","05211","0000281",111,1,0,1,"2012","northeast"
"MA","05247","402",111,1,0,1,"2012","northeast"
"MA","09128","2008561",111,1,0,1,"2012","northeast"
"MA","09163","0000443",111,1,0,1,"2012","northeast"
"MA","09163","0009744",111,2,0,2,"2012","northeast"
"MA","13137","351",111,1,0,1,"2012","northeast"
"MA","13159","0001043",111,1,0,1,"2012","northeast"
"MA","13329","2430",111,1,0,1,"2012","northeast"
"MA","17049","0004971",111,1,0,1,"2012","northeast"
"MA","17158","994",111,1,0,1,"2012","northeast"
"MA","17160","15674",111,1,0,1,"2012","northeast"
"MA","17170","4833",111,1,0,1,"2012","northeast"
"MA","17274","0001398",111,1,0,1,"2012","northeast"
"MA","17315","1200504",111,1,0,1,"2012","northeast"
"MA","23042","891",111,1,0,1,"2012","northeast"
"MA","25035","0000412",111,1,0,1,"2012","northeast"
"MA","27045","0000001",111,1,0,1,"2012","northeast"
"MA","27103","1200157",111,1,0,1,"2012","northeast"
"MA","27241","297",111,1,0,1,"2012","northeast"
"MA","27271","0000385",111,1,0,1,"2012","northeast"
"MA","27280","0000175",111,1,0,1,"2012","northeast"
"MA","27304","1398",111,2,0,2,"2012","northeast"
"MD","01001","0000064",111,2,0,2,"2012","south"
"MD","03100","2171079",111,1,0,1,"2012","south"
"MD","07008","0000526",111,1,0,1,"2012","south"
"MD","12010","0236735",111,1,0,1,"2012","south"
"MD","15555","0019083",111,1,0,1,"2012","south"
"MD","16026","0480019",111,1,0,1,"2012","south"
"MD","16033","2260222",111,1,0,1,"2012","south"
"MD","16035","3630352",111,1,0,1,"2012","south"
"MD","16038","2210232",111,2,0,2,"2012","south"
"MD","16042","3300055",111,1,0,1,"2012","south"
"MD","16046","2880054",111,1,0,1,"2012","south"
"MD","21011","0021527",111,1,0,1,"2012","south"
"MD","21021","0006905",111,2,0,2,"2012","south"
"MD","24000","1212556",111,1,0,1,"2012","south"
"MD","24000","1213025",111,1,0,1,"2012","south"
"MD","24000","1239217",111,1,0,1,"2012","south"
"MD","24000","1271984",111,1,0,1,"2012","south"
"MD","25001","0017997",111,1,0,1,"2012","south"
"MD","25001","0019654",111,1,0,1,"2012","south"
"MD","25001","0073696",111,1,0,1,"2012","south"
"MD","25001","0111297",111,1,0,1,"2012","south"
"MD","25001","0117548",111,1,0,1,"2012","south"
"MD","25001","0129173",111,5,0,5,"2012","south"
"MD","25001","0146046",111,1,0,1,"2012","south"
"ME","B2360","0001023",111,1,0,1,"2012","northeast"
"ME","H1450","1200097",111,1,0,1,"2012","northeast"
"ME","I2100","9",111,1,0,1,"2012","northeast"
"ME","I2100","36",111,1,0,1,"2012","northeast"
"ME","I4240","214",111,1,0,1,"2012","northeast"
"ME","J3830","12303",111,4,0,4,"2012","northeast"
"MI","00310","0000091",131,1,0,1,"2012","midwest"
"MI","00310","0000127",111,1,0,1,"2012","midwest"
"MI","00707","0201203",111,1,0,1,"2012","midwest"
"MI","00906","0000439",100,1,0,1,"2012","midwest"
"MI","01103","0000093",111,1,0,1,"2012","midwest"
"MI","01303","0000404",111,1,0,1,"2012","midwest"
"MI","01303","0005489",111,1,0,1,"2012","midwest"
"MI","02002","2012158",111,2,0,2,"2012","midwest"
"MI","02802","0000021",111,1,0,1,"2012","midwest"
"MI","03209","0201202",111,1,0,1,"2012","midwest"
"MI","03305","0000366",111,1,0,1,"2012","midwest"
